ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
R00126248,Vinyl,EMERSON LAKE AND PALMER,Works (Volume 2),$12.00,KSD 19147,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1977
R00121709,Vinyl,ENGLAND DAN AND JOHN FORD COLEY,England Dan And John Ford Coley,$10,BT 76018,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1979
R00123658,Vinyl,ERROLL GARNER,Dreamstreet,$6,ABC 365,Very Good (VG),Sleeve Condition,Very Good (VG),1961
00032849,Vinyl,EYDIE GORME,Come Sing With Me,$8,UAL 3143,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1961
R00121588,Vinyl,FATS AND THE CHESSMAN,Let's Twist,$8.50,sf-151,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),Unknown
R00126282,Vinyl,FATS DOMINO,The Complete Fats Domino,$8.00,SLLC-9327,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1985
00061196,Vinyl,FLETCHER HENDERSON,A Study In Frustration The Fletcher Henderson Story Volume 4,$13,BPG 62004,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1961
R00126316,Vinyl,FOSTER AND LLOYD,Foster And Lloyd,$6.50,6372-1-R,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1987
00048069,Vinyl,FOUR BROTHERS,Four Brothers,$6,CS 8197,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1960
00058141,Vinyl,FRANKIE LAINE,Jazz Spectacular,$7,CL 808,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1956
R00126240,Vinyl,GENESIS,Selling England By The Pound,$16.00,SD 19277,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1981
R00121952,Vinyl,GLENN MILLER AND HIS ORCHESTRA,Glenn Miller Plays Selections From \ The Glenn Miller Story\ And Other Hits,$14,LPM-1192,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1956
00039642,Vinyl,HANK LOCKLIN,Hank Locklin Sings Hank Williams,$9,LSP-2997,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
R00122948,Vinyl,HANK SNOW,Songs Of Tragedy,$6.,LSP 2901,Good Plus (G+),Sleeve Condition,Good (G),1964
00119320,Vinyl,HANK WILLIAMS,Your Cheatin' Heart,$7,MGM C 996,Good Plus (G+),Sleeve Condition,Very Good (VG),1964
00120856,Vinyl,HAROLD ROME,I Can Get It For You Wholesale,$11,KOS 2180,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1962
R00126242,Vinyl,HELIX,Walkin' The Razor's Edge,$8.00,ST 12362,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1984
R00126321,Vinyl,HOTT WAXX,Hott Waxx,$12.00,SS8701A,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+)
00031395,Vinyl,JACK TEAGARDEN,Tribute To Teagarden,$8,T 2076,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1964
R00122951,Vinyl,JAN AND DEAN,The Heart And Soul Of Jan And Dean And Friends,$6,DLP-181,Good Plus (G+),Sleeve Condition,Good Plus (G+),1964
R00126303,Vinyl,JANIS IAN,Janis Ian,$4.00,PC 35325,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1978
R00126310,Vinyl,JEANNIE C. RILEY,Jeannie C. Riley's Greatest Hits,$6.25,PLP 1,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1971
R00122379,Vinyl,JELLY ROLL MORTON,Classic Piano Solos,$7,RLP 12-111,Very Good (VG),Sleeve Condition,Good (G),1957
R00125768,Vinyl,JENNIFER WARNES,Famous Blue Raincoat (The Songs Of Leonard Cohen),$8.00,LAT 1227,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1986
00120797,Vinyl,JERRY BUTLER,Folk Songs,$18,VJLP 1057,Good Plus (G+),Sleeve Condition,Good (G),1963
00022623,Vinyl,JIM CAPALDI,Fierce Heart,$7,25-0057-1,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1983
R00126317,Vinyl,JIM CAPALDI,One Man Mission,$7.00,25 13501,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1984
00033354,Vinyl,JIM REEVES,Country Side Of...,$7,CAS-686,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1962
R00126269,Vinyl,JOAN BAEZ,Diamonds And Rust,$6.5,SP-4527,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1975
00026264,Vinyl,JOEY DEE AND THE STARLITERS,Doin The Twist At The Peppermint Lounge,$10,SR 25166,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1962
R00126325,Vinyl,"JOHANNES BRAHMS, BERLINER PHILHARMONIKER, KARL BÖHM",Symphonie Nr. 1,$5.00,2535 102,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1975
R00126268,Vinyl,JOHN DENVER,An Evening With John Denver,$4.5,CPL2-0764,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1975
00120938,Vinyl,JOSE MELIS,Jose Melis On Broadway,$14,MG 20610,Near Mint (NM or M-),Sleeve Condition,Good (G),1961
